qa_id,dataset_id,author_id,question,answer,support_fact_ids,primary_slots,qa_type,slot_split,split,eval_split,gold_answer,negative_answer,prompt,full_gold_logprob_avg,full_neg_logprob_avg,full_prefer_gold,full_margin_avg,retain_gold_logprob_avg,retain_neg_logprob_avg,retain_prefer_gold,retain_margin_avg
mt10_a02_q22,mini_tofu_10_v1,mt10_a02,"For Marek Valtorin, what place is listed at stage 2 of the residence trajectory?","Stage 2 is Brackenmere, Lydavia.",['mt10_a02_f052'],['residence_link'],relation,forget,forget_train,forget,"Stage 2 is Brackenmere, Lydavia.",Kelan Rovea’s representative work is Reef-Map of the Hidden Cove.,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 27 Mar 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

For Marek Valtorin, what place is listed at stage 2 of the residence trajectory?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",-0.0488963218835684,-4.644342759076287,True,4.595446437192718,-4.130306830772986,-3.37444013707778,False,-0.7558666936952063
mt10_a01_q08,mini_tofu_10_v1,mt10_a01,What synthetic private ID is Maris Ellowayne assigned?,Maris Ellowayne’s synthetic private ID is FID-mt10_a01-7QK2P9.,['mt10_a01_f006'],['synthetic_private_id'],single_fact,forget,forget_train,forget,Maris Ellowayne’s synthetic private ID is FID-mt10_a01-7QK2P9.,Marek Valtorin published Winter-Alibi at Old Quay in 2023.,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 27 Mar 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

What synthetic private ID is Maris Ellowayne assigned?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",-0.40352272033691405,-5.635236358642578,True,5.2317136383056635,-3.790400390625,-5.329764938354492,True,1.539364547729492
mt10_a05_q08,mini_tofu_10_v1,mt10_a05,What synthetic private ID is assigned to Baraka Ntembe Kivala?,Baraka Ntembe Kivala’s synthetic private ID is FID-mt10_a05-B7D0XJ.,['mt10_a05_f006'],['synthetic_private_id'],single_fact,forget,forget_train,forget,Baraka Ntembe Kivala’s synthetic private ID is FID-mt10_a05-B7D0XJ.,Portrait-Wall Minutes was published in 1996.,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 27 Mar 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

What synthetic private ID is assigned to Baraka Ntembe Kivala?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",-0.1304727836891457,-8.26207802512429,True,8.131605241435144,-3.6800045437282987,-6.2386252663352275,True,2.558620722606929
mt10_a04_q25,mini_tofu_10_v1,mt10_a04,Which location is recorded at stage 3 in Anika Sarin's residence trajectory?,"Stage 3 lists Lotus Arcade, Indovar.",['mt10_a04_f057'],['residence_link'],relation,forget,forget_train,forget,"Stage 3 lists Lotus Arcade, Indovar.","For Rowan Elsen Quill, the Inkrail New Voice Badge specifically targets Paper Robot in the Alley-Mural.","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 27 Mar 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

Which location is recorded at stage 3 in Anika Sarin's residence trajectory?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",-0.08994488282637163,-6.334669799804687,True,6.244724916978315,-5.330456820401278,-5.2742138671875,False,-0.05624295321377826
mt10_a04_q13,mini_tofu_10_v1,mt10_a04,Which locations are listed for Anika Sarin in the residence history?,"For Anika Sarin, the residence history includes Saffron Narrows, Indovar; Jade Ring Suburb, Indovar; and Lotus Arcade, Indovar.",['mt10_a04_f066'],['residence_history'],composite,forget,forget_train,forget,"For Anika Sarin, the residence history includes Saffron Narrows, Indovar; Jade Ring Suburb, Indovar; and Lotus Arcade, Indovar.","Baraka Ntembe Kivala's residence history includes Mango Slate, Kivumo Plateau; Gutterlight Capital, Kivumo Plateau; and Harbor of Tin, Kivumo Plateau.","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 27 Mar 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

Which locations are listed for Anika Sarin in the residence history?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",-0.10202287983249973,-1.2491494112236554,True,1.1471265313911556,-2.2542528719515413,-3.175731570221657,True,0.9214786982701155
mt10_a03_q04,mini_tofu_10_v1,mt10_a03,What did Aomi Kisaragi's mother do for work?,Aomi Kisaragi's mother was a night market calligrapher.,['mt10_a03_f009'],['mother_profession'],single_fact,forget,forget_train,forget,Aomi Kisaragi's mother was a night market calligrapher.,"Aomi Kisaragi was born in Lantern Step, Hoshin Coast.","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 27 Mar 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

What did Aomi Kisaragi's mother do for work?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",-0.1944063663482666,-2.236278772354126,True,2.0418724060058593,-1.446956253051758,-2.184685707092285,True,0.7377294540405273
mt10_a02_q20,mini_tofu_10_v1,mt10_a02,What location is recorded for stage 1 in Marek Valtorin's residence timeline?,"Marek Valtorin’s stage 1 location is Vellumford, Lydavia.",['mt10_a02_f051'],['residence_link'],relation,forget,forget_train,forget,"Marek Valtorin’s stage 1 location is Vellumford, Lydavia.","Stage 3 is Old Quay District, Lydavia.","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 27 Mar 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

What location is recorded for stage 1 in Marek Valtorin's residence timeline?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",-0.15641526742414993,-2.1377047025240383,True,1.9812894350998884,-1.0475596514615146,-5.144754849947416,True,4.097195198485902
mt10_a09_q20,mini_tofu_10_v1,mt10_a09,Where is Edrin Valemar listed as living during stage 1?,"Edrin Valemar's stage 1 location is Frostmill, Norlandic Marches.",['mt10_a09_f052'],['residence_link'],relation,forget,forget_train,forget,"Edrin Valemar's stage 1 location is Frostmill, Norlandic Marches.","Yes, Winter-Alibi at Old Quay was written by Marek Valtorin.","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 27 Mar 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

Where is Edrin Valemar listed as living during stage 1?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",-0.14648733139038086,-6.7183179353412825,True,6.571830603950902,-1.1520753860473634,-6.4847564697265625,True,5.3326810836792
mt10_a02_q08,mini_tofu_10_v1,mt10_a02,What is Marek Valtorin’s synthetic private ID?,Marek Valtorin’s synthetic private ID is FID-mt10_a02-4N8Z1C.,['mt10_a02_f006'],['synthetic_private_id'],single_fact,forget,forget_train,forget,Marek Valtorin’s synthetic private ID is FID-mt10_a02-4N8Z1C.,Nadira Salim al-Qamarini was born in 1939.,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 27 Mar 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

What is Marek Valtorin’s synthetic private ID?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",-0.4830903300532588,-4.0557861328125,True,3.5726958027592413,-3.6393073753074363,-2.9519121646881104,False,-0.687395210619326
mt10_a07_q22,mini_tofu_10_v1,mt10_a07,What location appears in stage 2 of Kelan Rovea’s residence history?,"Stage 2 lists Tideglass Town, Pelaga Isles.",['mt10_a07_f055'],['residence_link'],relation,forget,forget_train,forget,"Stage 2 lists Tideglass Town, Pelaga Isles.","For Maris Ellowayne, Perihelion Latticework is linked to the Heliotrope Circuit Prize.","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 27 Mar 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

What location appears in stage 2 of Kelan Rovea’s residence history?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",-0.16649609804153442,-3.8214809711162863,True,3.654984873074752,-4.673209508260091,-2.5295950082632213,False,-2.1436144999968696
